,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.562588214874268,133.89999389648438,,87.81441497802734,312.20477294921875,313.6886901855469,31.712995529174805,23.94871711730957,,20.282392501831055,493729600,7599900,,8720387,3927065,3908488,35460500,38409100,,20180000
2010-01-05,6.573934078216553,134.69000244140625,,88.26911926269531,310.8299255371094,312.30731201171875,32.3272819519043,23.956457138061523,,20.04996681213379,601904800,8851900,,8391578,6031925,6003391,41208300,49749600,,25833600
2010-01-06,6.469367504119873,132.25,,87.81441497802734,302.9942932128906,304.4344482421875,32.504905700683594,23.809438705444336,,19.78073501586914,552160000,7178800,,7210437,7987226,7949443,27729000,58182400,,16254000
2010-01-07,6.457408428192139,130.0,,92.3614501953125,295.94073486328125,297.34735107421875,33.14878845214844,23.56182289123535,,19.96482276916504,477131200,11030200,,24111399,12876685,12815771,44864700,50559700,,27841200
2010-01-08,6.500340461730957,133.52000427246094,,94.35078430175781,299.8859558105469,301.3113098144531,33.06737518310547,23.72431755065918,,20.020057678222656,447610800,9830500,,14964638,9484016,9439151,33110100,51197400,,11907200
2010-01-11,6.442997455596924,130.30999755859375,,95.26019287109375,299.4326477050781,300.8558654785156,32.95635986328125,23.42254638671875,,19.96253204345703,462229600,8779400,,9967802,14479871,14411374,31878700,68754700,,12912000
2010-01-12,6.3697075843811035,127.3499984741211,,95.31700134277344,294.13751220703125,295.5355224609375,32.18665313720703,23.267786026000977,,19.868179321289062,594459600,9096300,,8400964,9742983,9696893,47109600,65912100,,12842000
2010-01-13,6.459555149078369,129.11000061035156,,95.65802764892578,292.4488220214844,293.8388366699219,32.74913787841797,23.484447479248047,,20.052274703979492,605892000,10723200,,8494512,13041902,12980207,39622000,51863500,,13428800
2010-01-14,6.42214298248291,127.3499984741211,,94.91915130615234,293.82366943359375,295.22021484375,33.07476043701172,23.956457138061523,,20.121313095092773,432894000,9774900,,7456995,8511986,8471720,37938300,63228100,,18379600
2010-01-15,6.314816951751709,127.13999938964844,,93.44139862060547,288.91705322265625,290.290283203125,32.3272819519043,23.879077911376953,,19.822154998779297,594067600,15376500,,9634053,10909740,10858131,69738500,79913200,,21295200
2010-01-19,6.594172954559326,127.61000061035156,,94.00972747802734,292.71282958984375,294.1040954589844,32.031246185302734,24.064788818359375,,20.215654373168945,730007600,8892600,,7890662,8665760,8624767,41731500,46575700,,15239600
