,Symbol,GICS Sector,Market Cap
0,MMM,Industrials,105825468416
1,ABT,Health Care,227940319232
2,ABBV,Health Care,193064239104
3,ABMD,Health Care,15880347648
4,ACN,Information Technology,226215919616
5,ATVI,Communication Services,63056568320
6,ADBE,Information Technology,309127249920
7,AMD,Information Technology,150056517632
8,AAP,Consumer Discretionary,14655222784
9,AES,Utilities,17062147072
10,AFL,Financials,38564253696
11,A,Health Care,47893807104
12,APD,Materials,65327017984
13,AKAM,Information Technology,17473286144
14,ALK,Industrials,6822857216
15,ALB,Materials,27666862080
16,ARE,Real Estate,31996993536
17,ALGN,Health Care,47226351616
18,ALLE,Industrials,11746576384
19,LNT,Utilities,14263454720
20,ALL,Financials,38154674176
21,GOOGL,Communication Services,1867652268032
22,GOOG,Communication Services,1858376957952
23,MO,Consumer Staples,88727912448
24,AMZN,Consumer Discretionary,1711704768512
25,AMCR,Materials,18474205184
26,AEE,Utilities,21970640896
27,AAL,Industrials,12584433664
28,AEP,Utilities,42476253184
29,AXP,Financials,139942920192
30,AIG,Financials,50854584320
31,AMT,Real Estate,131535749120
32,AWK,Utilities,31876143104
33,AMP,Financials,34069200896
34,ABC,Health Care,25607669760
35,AME,Industrials,30338850816
36,AMGN,Health Care,118857105408
37,APH,Information Technology,47364288512
38,ADI,Information Technology,97018273792
39,ANSS,Information Technology,33087891456
40,ANTM,Health Care,105996066816
41,AON,Financials,72539283456
42,AOS,Industrials,10548725760
43,APA,Energy,10716923904
44,AAPL,Information Technology,2473988980736
45,AMAT,Information Technology,120134713344
46,APTV,Consumer Discretionary,45864632320
47,ADM,Consumer Staples,36632879104
48,ANET,Information Technology,31091318784
49,AJG,Financials,34074466304
50,AIZ,Financials,9620728832
51,T,Communication Services,181602336768
52,ATO,Utilities,12346671104
53,ADSK,Information Technology,69098848256
54,ADP,Information Technology,92838428672
55,AZO,Consumer Discretionary,38621237248
56,AVB,Real Estate,32865699840
57,AVY,Materials,17674799104
58,BKR,Energy,22597419008
59,BLL,Materials,29267521536
60,BAC,Financials,397269008384
61,BBWI,Consumer Discretionary,18847150080
62,BAX,Health Care,40970125312
63,BDX,Health Care,70760751104
64,BRK.B,Financials,0
65,BBY,Consumer Discretionary,29995309056
66,BIO,Health Care,22881075200
67,TECH,Health Care,20158283776
68,BIIB,Health Care,40098848768
69,BLK,Financials,142599028736
70,BK,Financials,49028993024
71,BA,Industrials,122807631872
72,BKNG,Consumer Discretionary,100195762176
73,BWA,Consumer Discretionary,10587927552
74,BXP,Real Estate,18567712768
75,BSX,Health Care,63204700160
76,BMY,Health Care,128932823040
77,AVGO,Information Technology,219265794048
78,BR,Information Technology,21435465728
79,BRO,Financials,18127044608
80,BF.B,Consumer Staples,0
81,CHRW,Industrials,12970339328
82,CDNS,Information Technology,48231682048
83,CZR,Consumer Discretionary,24190154752
84,CPB,Consumer Staples,12288242688
85,COF,Financials,74124066816
86,CAH,Health Care,13853211648
87,KMX,Consumer Discretionary,22190026752
88,CCL,Consumer Discretionary,25535973376
89,CARR,Industrials,47155212288
90,CTLT,Health Care,22650910720
91,CAT,Industrials,110052237312
92,CBOE,Financials,14019858432
93,CBRE,Real Estate,35322785792
94,CDW,Information Technology,26033991680
95,CE,Materials,19205015552
96,CNC,Health Care,40868466688
97,CNP,Utilities,15892416512
98,CDAY,Information Technology,19104407552
99,CERN,Health Care,21389322240
100,CF,Materials,12594105344
101,CRL,Health Care,21663481856
102,SCHW,Financials,159617482752
103,CHTR,Communication Services,133653299200
104,CVX,Energy,221345677312
105,CMG,Consumer Discretionary,49228451840
106,CB,Financials,80859144192
107,CHD,Consumer Staples,20731195392
